7a46e291d5e0 | 2025-08-02 19:10:46.411 | info | Final migration version: 23 (dirty: false)
7a46e291d5e0 | 2025-08-02 19:10:46.411 | info | Migration service completed in 48ms
a4300395a6fb | 2025-08-02 19:17:48.720 | info | Starting database migration service
a4300395a6fb | 2025-08-02 19:17:48.720 | info | Migration command: up
a4300395a6fb | 2025-08-02 19:17:48.720 | info | Connecting to database: postgres:5432/mydb
a4300395a6fb | 2025-08-02 19:17:48.729 | info | Database connection established
a4300395a6fb | 2025-08-02 19:17:48.741 | info | Database has no migrations applied yet
a4300395a6fb | 2025-08-02 19:17:48.741 | info | Running UP migrations...
a4300395a6fb | 2025-08-02 19:17:48.913 | info | UP migrations completed successfully
a4300395a6fb | 2025-08-02 19:17:48.914 | info | Final migration version: 23 (dirty: false)
a4300395a6fb | 2025-08-02 19:17:48.914 | info | Migration service completed in 194ms
b7ce4bd2db65 | 2025-08-02 19:33:47.918 | info | Starting database migration service
b7ce4bd2db65 | 2025-08-02 19:33:47.919 | info | Migration command: up
b7ce4bd2db65 | 2025-08-02 19:33:47.920 | info | Connecting to database: postgres:5432/mydb
b7ce4bd2db65 | 2025-08-02 19:33:47.940 | info | Database connection established
b7ce4bd2db65 | 2025-08-02 19:33:47.968 | info | Database has no migrations applied yet
b7ce4bd2db65 | 2025-08-02 19:33:47.968 | info | Running UP migrations...
b7ce4bd2db65 | 2025-08-02 19:33:48.144 | info | UP migrations completed successfully
b7ce4bd2db65 | 2025-08-02 19:33:48.145 | info | Final migration version: 23 (dirty: false)
b7ce4bd2db65 | 2025-08-02 19:33:48.145 | info | Migration service completed in 226ms
a8604f78df31 | 2025-08-02 19:52:38.590 | info | Starting database migration service
a8604f78df31 | 2025-08-02 19:52:38.591 | info | Migration command: up
a8604f78df31 | 2025-08-02 19:52:38.592 | info | Connecting to database: postgres:5432/mydb
a8604f78df31 | 2025-08-02 19:52:38.602 | info | Database connection established
a8604f78df31 | 2025-08-02 19:52:38.614 | info | Database has no migrations applied yet
a8604f78df31 | 2025-08-02 19:52:38.614 | info | Running UP migrations...
a8604f78df31 | 2025-08-02 19:52:38.787 | info | UP migrations completed successfully
a8604f78df31 | 2025-08-02 19:52:38.787 | info | Final migration version: 23 (dirty: false)
a8604f78df31 | 2025-08-02 19:52:38.788 | info | Migration service completed in 197ms
f06ef4ce01f3 | 2025-08-05 13:51:21.341 | info | Starting database migration service
f06ef4ce01f3 | 2025-08-05 13:51:21.342 | info | Migration command: up
f06ef4ce01f3 | 2025-08-05 13:51:21.342 | info | Connecting to database: postgres:5432/mydb
f06ef4ce01f3 | 2025-08-05 13:51:21.378 | info | Database connection established
f06ef4ce01f3 | 2025-08-05 13:51:21.424 | info | Database has no migrations applied yet
f06ef4ce01f3 | 2025-08-05 13:51:21.424 | info | Running UP migrations...
f06ef4ce01f3 | 2025-08-05 13:51:21.700 | info | UP migrations completed successfully
f06ef4ce01f3 | 2025-08-05 13:51:21.700 | info | Final migration version: 23 (dirty: false)
f06ef4ce01f3 | 2025-08-05 13:51:21.700 | info | Migration service completed in 359ms
253794c8407c | 2025-08-05 13:58:51.397 | info | Starting database migration service
253794c8407c | 2025-08-05 13:58:51.397 | info | Migration command: up
253794c8407c | 2025-08-05 13:58:51.397 | info | Connecting to database: postgres:5432/mydb
253794c8407c | 2025-08-05 13:58:51.408 | info | Database connection established
253794c8407c | 2025-08-05 13:58:51.422 | info | Database has no migrations applied yet
253794c8407c | 2025-08-05 13:58:51.422 | info | Running UP migrations...
253794c8407c | 2025-08-05 13:58:51.591 | info | UP migrations completed successfully
253794c8407c | 2025-08-05 13:58:51.592 | info | Final migration version: 23 (dirty: false)
253794c8407c | 2025-08-05 13:58:51.592 | info | Migration service completed in 194ms
22e8b8a7d6bf | 2025-08-10 14:58:34.737 | info | Starting database migration service
22e8b8a7d6bf | 2025-08-10 14:58:34.737 | info | Migration command: up
22e8b8a7d6bf | 2025-08-10 14:58:34.737 | info | Connecting to database: postgres:5432/mydb
22e8b8a7d6bf | 2025-08-10 14:58:34.753 | info | Database connection established
22e8b8a7d6bf | 2025-08-10 14:58:34.763 | info | Database has no migrations applied yet
22e8b8a7d6bf | 2025-08-10 14:58:34.763 | info | Running UP migrations...
22e8b8a7d6bf | 2025-08-10 14:58:35.060 | info | UP migrations completed successfully
22e8b8a7d6bf | 2025-08-10 14:58:35.061 | info | Final migration version: 23 (dirty: false)
22e8b8a7d6bf | 2025-08-10 14:58:35.061 | info | Migration service completed in 324ms
1fca4741c747 | 2025-08-10 15:08:03.902 | info | Starting database migration service
1fca4741c747 | 2025-08-10 15:08:03.903 | info | Migration command: up
1fca4741c747 | 2025-08-10 15:08:03.903 | info | Connecting to database: postgres:5432/mydb
1fca4741c747 | 2025-08-10 15:08:03.915 | info | Database connection established
1fca4741c747 | 2025-08-10 15:08:03.939 | info | Database has no migrations applied yet
1fca4741c747 | 2025-08-10 15:08:03.939 | info | Running UP migrations...
1fca4741c747 | 2025-08-10 15:08:04.278 | info | UP migrations completed successfully
1fca4741c747 | 2025-08-10 15:08:04.279 | info | Final migration version: 23 (dirty: false)
1fca4741c747 | 2025-08-10 15:08:04.279 | info | Migration service completed in 376ms
58ce1ea7c3e4 | 2025-08-10 15:21:17.324 | info | Starting database migration service
58ce1ea7c3e4 | 2025-08-10 15:21:17.325 | info | Migration command: up
58ce1ea7c3e4 | 2025-08-10 15:21:17.325 | info | Connecting to database: postgres:5432/mydb
58ce1ea7c3e4 | 2025-08-10 15:21:17.372 | info | Database connection established
58ce1ea7c3e4 | 2025-08-10 15:21:17.388 | info | Database has no migrations applied yet
58ce1ea7c3e4 | 2025-08-10 15:21:17.388 | info | Running UP migrations...
58ce1ea7c3e4 | 2025-08-10 15:21:17.986 | info | UP migrations completed successfully
58ce1ea7c3e4 | 2025-08-10 15:21:17.987 | info | Final migration version: 23 (dirty: false)
58ce1ea7c3e4 | 2025-08-10 15:21:17.987 | info | Migration service completed in 662ms
bf539bd499c8 | 2025-08-10 15:27:30.038 | info | Starting database migration service
bf539bd499c8 | 2025-08-10 15:27:30.038 | info | Migration command: up
bf539bd499c8 | 2025-08-10 15:27:30.038 | info | Connecting to database: postgres:5432/mydb
bf539bd499c8 | 2025-08-10 15:27:30.051 | info | Database connection established
bf539bd499c8 | 2025-08-10 15:27:30.065 | info | Database has no migrations applied yet
bf539bd499c8 | 2025-08-10 15:27:30.065 | info | Running UP migrations...
bf539bd499c8 | 2025-08-10 15:27:30.328 | info | UP migrations completed successfully
bf539bd499c8 | 2025-08-10 15:27:30.329 | info | Final migration version: 23 (dirty: false)
bf539bd499c8 | 2025-08-10 15:27:30.329 | info | Migration service completed in 291ms
54deba867478 | 2025-08-10 16:28:08.279 | info | Starting database migration service
54deba867478 | 2025-08-10 16:28:08.280 | info | Migration command: up
54deba867478 | 2025-08-10 16:28:08.280 | info | Connecting to database: postgres:5432/mydb
54deba867478 | 2025-08-10 16:28:08.298 | info | Database connection established
54deba867478 | 2025-08-10 16:28:08.316 | info | Database has no migrations applied yet
54deba867478 | 2025-08-10 16:28:08.316 | info | Running UP migrations...
54deba867478 | 2025-08-10 16:28:08.754 | info | UP migrations completed successfully
54deba867478 | 2025-08-10 16:28:08.755 | info | Final migration version: 23 (dirty: false)
54deba867478 | 2025-08-10 16:28:08.755 | info | Migration service completed in 475ms
54deba867478 | 2025-08-10 16:30:39.873 | info | Starting database migration service
54deba867478 | 2025-08-10 16:30:39.874 | info | Migration command: up
54deba867478 | 2025-08-10 16:30:39.874 | info | Connecting to database: postgres:5432/mydb
54deba867478 | 2025-08-10 16:30:39.894 | info | Database connection established
54deba867478 | 2025-08-10 16:30:39.929 | info | Current migration version: 23 (dirty: false)
54deba867478 | 2025-08-10 16:30:39.930 | info | Running UP migrations...
54deba867478 | 2025-08-10 16:30:39.937 | info | No new migrations to apply
54deba867478 | 2025-08-10 16:30:39.939 | info | Final migration version: 23 (dirty: false)
54deba867478 | 2025-08-10 16:30:39.939 | info | Migration service completed in 65ms
9ff9817fc947 | 2025-08-10 16:32:06.141 | info | Starting database migration service
9ff9817fc947 | 2025-08-10 16:32:06.141 | info | Migration command: up
9ff9817fc947 | 2025-08-10 16:32:06.141 | info | Connecting to database: postgres:5432/mydb
9ff9817fc947 | 2025-08-10 16:32:06.156 | info | Database connection established
9ff9817fc947 | 2025-08-10 16:32:06.170 | info | Database has no migrations applied yet
9ff9817fc947 | 2025-08-10 16:32:06.170 | info | Running UP migrations...
9ff9817fc947 | 2025-08-10 16:32:06.495 | info | UP migrations completed successfully
9ff9817fc947 | 2025-08-10 16:32:06.495 | info | Final migration version: 23 (dirty: false)
9ff9817fc947 | 2025-08-10 16:32:06.495 | info | Migration service completed in 354ms
b3361df77c95 | 2025-08-10 16:40:54.592 | info | Starting database migration service
b3361df77c95 | 2025-08-10 16:40:54.593 | info | Migration command: up
b3361df77c95 | 2025-08-10 16:40:54.593 | info | Connecting to database: postgres:5432/mydb
b3361df77c95 | 2025-08-10 16:40:54.646 | info | Database connection established
b3361df77c95 | 2025-08-10 16:40:54.679 | info | Database has no migrations applied yet
b3361df77c95 | 2025-08-10 16:40:54.679 | info | Running UP migrations...
